CUSEC;DISTRITO;TIPO;Shape_Area;M2V;HMC;PSH;PSV;V5P;PTV5
5029701036;01;SECCION CENSAL;100256.366366;77.5453038674033;35.7469908418673;1.96145610278373;2.1940119760479;19.6506550218341;5.74850299401198
5029701038;01;SECCION CENSAL;69166.1161012;92.8815094339623;42.4445586705141;1.94590643274854;2.09276729559748;8.33959429000751;2.83018867924528
5029701039;01;SECCION CENSAL;48532.667442;118.684608120869;51.028484984585;2.35593220338983;2.42265795206972;3.77697841726619;1.30718954248366
5029701040;01;SECCION CENSAL;23215.5794308;95.3942414174972;40.1933161766879;2.05227272727273;2.29187817258883;3.65448504983389;1.26903553299492
5029701041;01;SECCION CENSAL;37957.1304388;69.4378137200223;30.5342636485678;2.00559284116331;2.22732919254658;21.1935303959844;6.95652173913043
5029701043;01;SECCION CENSAL;31706.9456443;73.2352941176471;33.3884940918859;2.00123915737299;2.15333333333333;14.6130030959752;5.6
5029702001;02;SECCION CENSAL;89952.4751499;110.747960108794;53.8369545176868;1.96187175043328;2.06569343065693;6.80212014134276;2.37226277372263
5029702002;02;SECCION CENSAL;33762.0068956;124.347624565469;52.283530054222;2.23273657289003;2.34677419354839;2.40549828178694;1.0752688172043
5029702003;02;SECCION CENSAL;29399.3290704;100.445168295331;41.0771542656723;2.04149377593361;2.27251732101617;4.87804878048781;2.07852193995381
5029702004;02;SECCION CENSAL;110231.373641;129.33268671193;52.3082396505079;2.42567567567568;2.51048951048951;0.0;0.0
5029702005;02;SECCION CENSAL;56401.3170344;168.731906218145;66.2753138141713;2.39759036144578;2.47512437810945;0.50251256281407;0.248756218905473
5029702006;02;SECCION CENSAL;97283.0370401;133.318329718004;52.1516402041727;2.40442132639792;2.5363511659808;0.865332612222823;0.411522633744856
5029702008;02;SECCION CENSAL;35763.2702514;120.737261146497;48.7676799314362;2.36981132075472;2.44357976653697;4.77707006369427;1.94552529182879
5029702009;02;SECCION CENSAL;25057.2591536;94.3468067906225;38.7901306615865;2.24094202898551;2.38803088803089;10.1859337105901;3.86100386100386
5029702010;02;SECCION CENSAL;65573.8493677;119.687415426252;49.0683543017505;2.31895223420647;2.45915032679739;6.44518272425249;2.45098039215686
5029702012;02;SECCION CENSAL;67130.2044209;101.230769230769;41.074070766744;2.29251700680272;2.38724911452184;9.09990108803165;3.54191263282172
5029702013;02;SECCION CENSAL;22580.2054244;81.0427892234548;35.9693070471296;2.08250825082508;2.24156305506217;16.6402535657686;6.21669626998224
5029702014;02;SECCION CENSAL;42236.8779433;82.0186418109188;36.4153263137577;2.06602475928473;2.23179791976226;15.1797603195739;5.79494799405646
5029702015;02;SECCION CENSAL;16536.3159593;84.6542056074766;38.890723224569;2.04295942720764;2.13466334164589;8.29439252336449;2.7431421446384
5029702017;02;SECCION CENSAL;26688.2543445;95.9807135969142;39.5172146994132;2.22532188841202;2.41162790697674;11.6682738669238;4.18604651162791
5029702018;02;SECCION CENSAL;44699.78405;107.747778537252;46.3768219063122;2.22644376899696;2.31437598736177;5.18771331058021;1.8957345971564
5029702019;02;SECCION CENSAL;55765.3806756;112.884615384615;48.6771350941083;2.10953346855984;2.23175965665236;3.84615384615385;1.50214592274678
5029702020;02;SECCION CENSAL;29827.7046149;106.798554652213;45.4211019840624;2.17485265225933;2.3014553014553;2.8003613369467;1.03950103950104
5029702021;02;SECCION CENSAL;20013.2685719;89.373820754717;40.3226511058507;1.97209302325581;2.15776081424936;7.54716981132076;2.79898218829517
5029702022;02;SECCION CENSAL;41855.8965147;113.849343469247;47.8734446907063;2.22852760736196;2.32852564102564;2.4776324845148;0.961538461538462
5029702023;02;SECCION CENSAL;22597.2386317;120.704339963834;50.5081019617052;2.21643286573146;2.34819532908705;3.43580470162749;1.27388535031847
5029702024;02;SECCION CENSAL;32554.2977487;111.778642936596;49.2802733600987;2.10538641686183;2.19804400977995;6.22914349276974;2.44498777506112
5029702025;02;SECCION CENSAL;56524.2354359;121.325276243094;53.4647849950816;2.11386861313869;2.20731707317073;0.0;0.0
5029702026;02;SECCION CENSAL;78547.7830261;157.261140819964;64.4998555924506;2.33874239350913;2.41213389121339;0.867302688638335;0.418410041841004
5029702027;02;SECCION CENSAL;21396.7002001;102.185074626866;46.3722975461599;2.08939708939709;2.18954248366013;6.76616915422886;2.61437908496732
5029702028;02;SECCION CENSAL;20064.4953388;109.671607753706;47.3914650234018;2.16543209876543;2.23724489795918;1.82440136830103;0.76530612244898
5029702029;02;SECCION CENSAL;25825.753076;136.455864570738;52.2326992402796;2.40406976744186;2.53680981595092;3.26481257557436;1.53374233128834
5029702030;02;SECCION CENSAL;17719.5001783;111.983298538622;46.0006248865736;2.23831775700935;2.37717121588089;7.41127348643006;2.97766749379653
5029702031;02;SECCION CENSAL;27675.8417199;85.2215843857635;38.2475209305517;2.1760391198044;2.23618090452261;7.97752808988764;3.26633165829146
5029702032;02;SECCION CENSAL;21605.3340883;89.7118337850045;38.53829958308;2.17058823529412;2.29668049792531;9.75609756097561;3.94190871369295
5029702033;02;SECCION CENSAL;30561.9376858;91.7226376614548;39.0044740658699;2.16157205240175;2.32758620689655;14.2087542087542;5.01567398119122
5029702035;02;SECCION CENSAL;33093.1871075;101.623044096728;41.6411108228405;2.229793977813;2.38071065989848;7.10732054015636;2.7072758037225
5029702036;02;SECCION CENSAL;12197.937488;99.8901098901099;41.7196717709211;2.29652996845426;2.41860465116279;4.94505494505495;0.996677740863787
5029702037;02;SECCION CENSAL;96360.9721897;97.8723693143245;39.9591479988406;2.23273273273273;2.41788617886179;10.0201748486886;4.0650406504065
5029702038;02;SECCION CENSAL;33842.6608514;116.649155722326;47.2100312331459;2.29436325678497;2.41538461538462;5.36851683348499;1.97802197802198
5029702040;02;SECCION CENSAL;36268.8971308;82.199910952805;32.7517979743755;2.32264736297828;2.50949720670391;17.9430097951915;7.15083798882682
5029702042;02;SECCION CENSAL;17851.1161069;108.833131801693;46.6230933019591;2.24119241192412;2.31652661064426;0.725513905683192;0.280112044817927
5029702045;02;SECCION CENSAL;10367.5677949;89.1112716763006;38.3038036008808;2.20382165605096;2.31438127090301;9.82658959537572;4.01337792642141
5029702046;02;SECCION CENSAL;39990.8111361;102.533826037521;40.70696896584;2.36107382550336;2.49503546099291;4.83229107447413;2.12765957446808
5029702047;02;SECCION CENSAL;18178.5621804;80.3209733487833;36.6566773331451;2.03529411764706;2.17336683417085;13.757225433526;5.52763819095477
5029702048;02;SECCION CENSAL;14999.556106;97.1416579223505;43.0465157725035;2.1463963963964;2.25829383886256;0.0;0.0
5029702049;02;SECCION CENSAL;17265.1659737;94.3527168732126;41.1290769000723;2.16288659793814;2.29540481400438;6.95900857959962;2.62582056892779
5029702050;02;SECCION CENSAL;67812.7959055;107.228981544771;44.4402389828448;2.37115072933549;2.41419141914191;0.0;0.0
5029702051;02;SECCION CENSAL;44405.8756207;108.908360128617;43.0424757138193;2.48605577689243;2.52121212121212;0.0;0.0
5029702052;02;SECCION CENSAL;51613.6099878;120.888888888889;45.2683306768275;2.59322033898305;2.66860465116279;0.0;0.0
5029702053;02;SECCION CENSAL;48585.4498775;124.683808200139;51.3845956431629;2.38805970149254;2.4283305227656;0.486111111111111;0.168634064080944
5029703001;03;SECCION CENSAL;37769.489854;79.2801204819277;33.9053119585123;2.15584415584416;2.34352941176471;16.566265060241;5.88235294117647
5029703002;03;SECCION CENSAL;140866.361453;92.3105320304017;36.8686877964158;2.36153846153846;2.49593495934959;5.21172638436482;2.4390243902439
5029703003;03;SECCION CENSAL;21937.1493185;77.4494640122512;31.5698146304289;2.28321678321678;2.43202979515829;25.2679938744257;10.0558659217877
5029703004;03;SECCION CENSAL;25915.845848;86.8685228151585;35.9887100749098;2.23316062176166;2.41231343283582;12.2196442382057;4.47761194029851
5029703005;03;SECCION CENSAL;39388.0187375;78.0637886597938;33.1783457733182;2.19209039548023;2.33734939759036;17.0747422680412;6.32530120481928
5029703007;03;SECCION CENSAL;26746.2088469;81.8307560137457;35.6678248279437;2.13186813186813;2.27788649706458;15.2920962199313;5.67514677103718
5029703008;03;SECCION CENSAL;27909.5005581;77.7604790419162;31.1140763026682;2.297583081571;2.5265780730897;23.8001314924392;8.30564784053156
5029703009;03;SECCION CENSAL;21113.0161934;75.9778699861687;28.2533089635173;2.40199335548173;2.6728280961183;28.9764868603043;12.1996303142329
5029703011;03;SECCION CENSAL;33887.2122155;74.0832888414309;29.4239909230921;2.31806930693069;2.52425876010782;26.5883609183129;9.56873315363881
5029703012;03;SECCION CENSAL;24811.4337904;85.5584415584416;38.149482015737;2.12814070351759;2.24074074074074;13.8134592680047;4.23280423280423
5029703014;03;SECCION CENSAL;28612.3142505;70.8381542699724;26.9130528046335;2.34193548387097;2.62093862815884;29.6143250688705;12.2743682310469
5029703015;03;SECCION CENSAL;21771.4106377;78.4891640866873;30.6294259728545;2.35336976320583;2.56349206349206;25.7739938080495;10.7142857142857
5029703016;03;SECCION CENSAL;32600.469116;80.7434881087203;32.5135273295945;2.34304635761589;2.49154929577465;18.2589033352176;7.1830985915493
5029701001;01;SECCION CENSAL;141214.040179;91.6854279105628;41.7492026581709;2.21538461538462;2.36453201970443;6.875;2.79146141215107
5029701002;01;SECCION CENSAL;106730.389317;87.6122448979592;37.1357710585694;2.03037974683544;2.18826739427012;11.783042394015;4.3656207366985
5029701003;01;SECCION CENSAL;49449.9224383;76.6064382139149;30.789737552938;2.14124293785311;2.34917355371901;14.4239226033421;5.78512396694215
5029701004;01;SECCION CENSAL;174957.327622;77.8041836141778;29.70378020299;2.43767705382436;2.63149847094801;24.2300987797792;10.7033639143731
5029701005;01;SECCION CENSAL;203014.46572;82.768115942029;32.3567147971017;2.40482573726542;2.57758620689655;16.4994425863991;6.60919540229885
5029701006;01;SECCION CENSAL;50694.0820698;80.5828933474129;36.0451768340116;2.41885964912281;2.53563218390805;10.5167724388033;4.59770114942529
5029701008;01;SECCION CENSAL;38620.5680158;67.3213340391742;30.1904520832262;2.00530785562633;2.21194379391101;20.4340921122287;7.37704918032787
5029701009;01;SECCION CENSAL;51586.3718704;85.7507163323782;37.2426068647966;2.08284023668639;2.25930680359435;11.4772727272727;4.36456996148909
5029701012;01;SECCION CENSAL;31290.9435296;109.683513838748;49.6933628480129;1.95990566037736;2.08793969849246;4.9338146811071;1.75879396984925
5029701015;01;SECCION CENSAL;53372.4222477;67.9182111200645;28.3814361856422;2.07558139534884;2.34647887323944;23.5294117647059;8.82629107981221
5029701017;01;SECCION CENSAL;65483.375731;70.59367194005;30.8782367925335;2.07599309153713;2.27651515151515;20.4658901830283;7.38636363636364
5029701019;01;SECCION CENSAL;75292.4132133;88.4303497332543;38.7871868344724;2.14904458598726;2.27972972972973;13.3965619442798;4.86486486486487
5029701020;01;SECCION CENSAL;48086.9711167;76.9697530864198;28.8085988136016;2.23687752355316;2.56877897990726;21.7208182912154;8.19165378670788
5029701021;01;SECCION CENSAL;48059.5536792;71.0917119565217;27.383506565055;2.24581430745814;2.54616048317515;26.4656048797018;9.92234685073339
5029701023;01;SECCION CENSAL;36852.9901902;73.6472466081405;29.1579443470376;2.3562030075188;2.57392197125257;24.4914240127643;8.93223819301848
5029701024;01;SECCION CENSAL;128621.033333;86.6353503184713;37.1196864382232;2.43304347826087;2.56227106227106;10.1501072194425;4.21245421245421
5029701025;01;SECCION CENSAL;18360.7370938;87.5492487479132;37.3229435601431;2.24344569288389;2.35363457760314;10.2671118530885;3.53634577603143
5029701026;01;SECCION CENSAL;16650.0229194;70.4378920953576;29.2079195364457;2.21388888888889;2.36498516320475;26.2233375156838;8.90207715133531
5029701027;01;SECCION CENSAL;24193.7894669;90.52;33.76644014955;2.47579298831386;2.66726618705036;17.9366149696561;7.37410071942446
5029701030;01;SECCION CENSAL;51945.7022174;77.9159811985899;31.4486774944022;2.19612903225806;2.44540229885057;15.6874265569918;6.17816091954023
5029701031;01;SECCION CENSAL;135380.246374;82.9210110584518;37.7100351804643;2.12206572769953;2.32590051457976;12.905604719764;4.80274442538594
5029701032;01;SECCION CENSAL;93504.6328963;110.410863509749;48.6942041055143;2.22074074074074;2.32043343653251;2.13475650433622;0.928792569659443
5029701033;01;SECCION CENSAL;12218.7417231;84.8;37.4567069954147;2.13798977853492;2.26126126126126;14.1832669322709;5.04504504504505
5029701034;01;SECCION CENSAL;35380.9885288;71.211880261927;27.2816074822974;2.26821541710665;2.66501240694789;32.635009310987;12.6550868486352
5029703017;03;SECCION CENSAL;23286.0622398;76.8711169861203;29.4193103958416;2.33848531684699;2.59519725557461;24.9173826834104;10.1200686106347
5029703018;03;SECCION CENSAL;28567.8544854;72.7678997613365;28.462891746356;2.34217877094972;2.57208588957055;27.9666070363745;10.2760736196319
5029703019;03;SECCION CENSAL;18246.4783411;69.4628921193573;24.595413307503;2.54775828460039;2.82289416846652;35.5011476664116;15.1187904967603
5029703020;03;SECCION CENSAL;25411.094068;72.3226730310263;27.7974802703515;2.33036707452725;2.59603469640644;32.5536992840095;13.1350681536555
5029703021;03;SECCION CENSAL;20730.5819347;70.9126016260163;26.5736387094566;2.41967213114754;2.65945945945946;24.2547425474255;10.0900900900901
5029703022;03;SECCION CENSAL;22686.1565058;70.3737727910238;29.3087279947165;2.16717325227964;2.39663865546218;25.3856942496494;9.74789915966386
5029703023;03;SECCION CENSAL;21171.0558057;67.8221906116643;25.4092151751312;2.41580756013746;2.66287878787879;28.3783783783784;12.1212121212121
