ID_PADRON;km2;TIPO;NOMBRE;M2V;HMC;PSH;PSV;V5P;PTV5
1.0;1.98448595443;Distrito Municipal;Casco Histórico;81.2149362871298;34.2315746068126;2.17547578452606;2.37618280652305;16.905316670197;6.21602577008254
2.0;1.80863851584;Distrito Municipal;Centro;107.428280773143;44.9195354796694;2.23235994485524;2.35266147140404;6.16064076652444;2.39070136045437
3.0;2.895719753;Distrito Municipal;Delicias;79.9642987284479;31.5430328503969;2.3461978594027;2.53516789913929;19.3902240754378;7.64941204994545
4.0;5.67239385377;Distrito Municipal;La Almozara;86.1094419887667;33.9575956715132;2.3770336439741;2.5008724553386;11.4326533324473;4.67802243456585
5.0;3.05557212584;Distrito Municipal;Universidad;102.474546330496;41.0795474925803;2.35288390207715;2.47582573059472;7.12948548682681;2.72722837488413
6.0;7.33644136063;Distrito Municipal;Casablanca;132.002962085308;45.089389006016;2.62699014404852;2.76242359819293;8.6964886964887;3.95960669678448
7.0;3.6348288899;Distrito Municipal;San José;79.4167260208927;32.0823538864416;2.2958816744691;2.45673007114854;16.0052010993233;6.20008712066212
8.0;6.31182230845;Distrito Municipal;Las Fuentes;72.8994550027949;29.2201661213687;2.3162232037057;2.47813058260819;17.3615794246913;6.92099348815767
9.0;123.984207178;Junta Vecinal;La Cartuja Baja;115.04718875502;42.7286038301642;2.56060606060606;2.63035019455253;4.53648915187377;2.20492866407263
10.0;8.9826890213;Distrito Municipal;Miralbueno;117.541153238547;38.6056595183838;2.90649114843395;2.97813953488372;2.86584413556146;1.51162790697674
11.0;3.58408600883;Distrito Municipal;Oliver - Valdefierro;91.01502778899;32.8264223096717;2.58715742511154;2.75133440650682;13.8480014781056;6.2272303651614
12.0;111.442775577;Distrito Municipal;Torrero - La Paz;82.6413757263665;32.3518572215188;2.36816281014776;2.51408784183734;13.8323170013891;5.6173789511069
13.0;20.1576585955;Junta Vecinal;Torrecilla de Valmadrid;153.36;73.2533333333333;2.08333333333333;2.08333333333333;0.0;0.0
14.0;9.64608037983;Distrito Municipal;Actur - Rey Fernando;95.8734428813763;35.0984104948944;2.6562613101701;2.73317195791826;4.21194263719045;1.97374546131645
15.0;8.40015446382;Distrito Municipal;El Rabal;87.4294785672641;32.972149816227;2.49109446787085;2.60658544616398;9.91258432075996;4.23773460651959
16.0;299.560202894;Junta Vecinal;Juslibol - El Zorongo;187.548457192525;66.0688944141159;2.94425863991081;3.02520045819015;0.833017796289284;0.458190148911798
17.0;11.7720728736;Junta Vecinal;Montañana;127.48825710754;45.2561084299179;2.60171473109899;2.68543845534996;4.67345715997603;2.33306516492357
18.0;10.8935504529;Junta Vecinal;San Juan de Mozarrifar;147.104351174432;52.8821470921512;2.65015166835187;2.73020833333333;2.06028233498665;0.833333333333333
19.0;1.93392428421;Junta Vecinal;San Gregorio;128.095818815331;48.0571137989564;2.49579831932773;2.64;6.06060606060606;2.22222222222222
20.0;54.4000940448;Junta Vecinal;Peñaflor;130.93756503642;53.2301298250831;3.04784688995215;3.13793103448276;3.2967032967033;1.72413793103448
21.0;22.7508813513;Junta Vecinal;Movera;146.997706422018;41.9280211645989;2.77272727272727;3.01317233809001;7.65027322404372;3.95170142700329
22.0;7.97376233132;Distrito Municipal;Santa Isabel;120.075545229708;40.603615245414;2.81611354623252;2.90838542789394;3.37236881114735;1.63828411295538
23.0;141.238303877;Junta Vecinal;Garrapinillos;153.904042647712;41.7070098475032;2.9869918699187;3.1437535653166;4.59081836327345;1.88248716486024
24.0;9.20385595253;Junta Vecinal;Venta del Olivar;221.685096153846;75.049687118437;3.14657980456026;3.24161073825503;1.5527950310559;1.00671140939597
25.0;11.9770310492;Junta Vecinal;Monzalbarba;116.442237323576;44.3513910901785;2.51093951093951;2.6508152173913;4.81804202972834;2.30978260869565
26.0;11.3124666643;Junta Vecinal;Alfocea;119.007575757576;44.655303030303;2.5;2.64705882352941;17.037037037037;5.88235294117647
27.0;6.36670847786;Junta Vecinal;Casetas;87.0141465367677;31.1466323243448;2.49370026525199;2.78865406006674;22.1911979789922;9.71449758991472
28.0;1.13052424565;Junta Vecinal;Villarrapa;105.845771144279;42.5780943766018;2.31034482758621;2.39285714285714;7.96019900497512;3.57142857142857
29.0;59.3007278695;Distrito Municipal;Sur;114.491018274059;42.1381733902501;2.58131948605286;2.62465308332769;0.83303244442152;0.399377242266297
;968.71166035431;;;90.35;35.548;2.41492545361408;2.55643357366849;11.489081409369;4.68600050659465
