ZBS_cod;km2;ZBS_nom;M2V;HMC;PSH;PSV;V5P;PTV5
3616.0;1.65057599373;OLIVER;78.1556376862607;27.9586520042898;2.58510638297872;2.78274193548387;19.8110473540833;8.83870967741935
5412.0;0.887078334567;ACTUR NORTE;96.3802610909485;35.8696144349291;2.60095613048369;2.68048108969715;2.10293004649151;1.01434574699319
5413.0;2.89420218786;ACTUR OESTE;93.7028544998018;33.6666966412104;2.73118087763111;2.81142122658832;7.15825223695382;3.3786265148733
5406.0;1.13239289783;ACTUR SUR;99.4910585141354;37.2005239863926;2.5901917529272;2.66620087336245;2.12264150943396;0.925764192139738
0.0;3064.42094108647;;90.35;35.548;2.41492545361408;2.55643357366849;11.489081409369;4.68600050659465
5407.0;0.997960585089;ARRABAL;86.686318826641;33.1906382064028;2.44302909898329;2.56755097027757;10.8634298014829;4.54433800049128
5410.0;1.73305465891;ZALFONADA;85.5268251630549;31.7649910610376;2.55804721030043;2.66379888268156;9.78985780797785;4.37988826815642
2521.0;2.86079515195;CASABLANCA;128.742124768376;44.2731477602562;2.61115475255302;2.74559471365639;8.83473726434015;3.99229074889868
2509.0;1.60493079198;ALMOZARA;82.8891503991878;32.5691912324271;2.40108551174125;2.52292830540037;10.7533330257877;4.44599627560521
2523.0;0.916125651053;FERNANDO EL CATÓLICO;94.887234246313;40.2487910611067;2.23755349128483;2.37988454706927;9.98693908013807;3.70781527531083
2508.0;0.600893762088;MADRE VEDRUNA-MIRAFLORES;105.438643816778;43.2268343141234;2.3041312272175;2.41044870980043;5.84823076517429;2.28803864243041
2505.0;0.91452085185;REBOLERÍA;84.5675571969879;36.3089884284817;2.12782330601639;2.29577312917835;13.4469963834484;5.04636618503343
2518.0;0.461587798707;SAN JOSÉ CENTRO;78.1439368862408;31.8818283032783;2.27476799598696;2.43378505299879;15.7064887810794;6.03783711257212
2510.0;0.712110336575;SAN PABLO;78.8447705757123;32.4190857245175;2.23717501743201;2.44598126769767;18.6695756712231;6.86125027227184
2525.0;1110.66848525;CAMPO DE BELCHITE;153.36;73.2533333333333;2.08333333333333;2.08333333333333;0.0;0.0
2522.0;0.589803746673;HERNAN CORTÉS;87.9052612382602;36.7048258604318;2.23291010665312;2.38841807909604;14.8978756311695;5.48674489352455
2515.0;2.74922949523;LAS FUENTES NORTE;68.8020649440967;27.7207953977138;2.29333824070666;2.46804858727225;20.3017172203499;7.93504092949564
2517.0;0.402225147856;SAN JOSÉ NORTE;84.9137669313405;35.3715426556757;2.25217391304348;2.39318714660047;12.0209762000807;4.50972279685561
5408.0;5.55096629698;AVDA CATALUÑA;89.1963422447434;33.6752968178983;2.47579310840947;2.59195661997289;9.42003719200372;3.95390872119295
3612.0;0.621708447104;DELICIAS SUR;75.644196064734;28.8496042054547;2.36934788590296;2.62450472416946;25.7538806952348;10.3931728131667
3617.0;1.68588721566;VALDEFIERRO;96.2487367137132;34.0862179402645;2.61452894438138;2.75724203974144;9.7768516106625;4.69236293990903
3604.0;95.6813261347;CASETAS;87.4358007024847;31.4084705315484;2.48870967741935;2.77717782577394;21.8405703175632;9.53923686105112
3611.0;346.79685801;MARÍA DE HUERVA;197.2;114.2;1.66666666666667;1.66666666666667;0.0;0.0
5404.0;614.504214766;VILLAMAYOR;0.0;0.0;3.0;3.0;0.0;0.0
5414.0;318.261659395;PARQUE GOYA;117.896060686718;41.7754772008317;2.75894605661385;2.83412582297001;5.00742079112086;2.45062179956108
5409.0;113.168324852;SANTA ISABEL;125.277684064298;42.1200985906567;2.78646877924856;2.89605336297943;4.14107485604607;2.05669816564758
2516.0;13.9213056758;TORRE RAMONA;80.1268670614966;31.7837190028938;2.35457087921692;2.49384430250856;13.8450688541628;5.66509302971397
2524.0;63.7248759626;VALDESPARTERA-MONTECANAL;115.477422329227;42.3633158344975;2.58590657165479;2.63015904972821;0.882833231271688;0.422790416750554
2507.0;0.765033835887;INDEPENDENCIA;110.103632635125;45.7741916471963;2.23199490121096;2.41184573002755;9.42318675042833;3.52961432506887
2520.0;1.06870053911;ROMAREDA-SEMINARIO;113.301053283767;42.2934308943163;2.60583359897992;2.66878876918054;1.16215059025017;0.522363695723147
2513.0;1.54288556699;SAGASTA-RUISEÑORES;98.4006933571908;41.2595069221176;2.19855551475089;2.34037008079229;9.65200445434298;3.50534271566328
2519.0;4.53430208604;SAN JOSÉ SUR;76.7173477840674;30.0847750755213;2.33773235696467;2.51589157356889;18.753227083405;7.54308478392656
2511.0;137.198219875;TORRERO-LA PAZ;87.4741094639219;33.9426664540098;2.42978578714723;2.53561607380467;10.2120067170445;4.22247848842367
2512.0;7.83244512803;VENECIA;74.7853804840622;29.6853447337065;2.26514913657771;2.48433195592286;20.78453115254;8.23002754820937
3615.0;1.32924906395;UNIVÉRSITAS;87.6066355290707;34.3894891189008;2.40229797012639;2.5384055038446;12.6522543205153;5.13152569809794
3614.0;1.21888963267;BOMBARDA;88.4663560732113;35.1751214247897;2.38485954610379;2.50742532955114;10.5144074000133;4.23827799098949
3608.0;41.5184630339;UTEBO;116.68;44.405224953908;2.5083932853717;2.64810126582278;5.59273422562142;2.53164556962025
3613.0;0.6094675951;DELICIAS NORTE;77.2367499508164;30.2354232849815;2.33780801765355;2.55409342039176;23.3343821285299;9.31190356604721
3618.0;161.110185332;MIRALBUENO-GARRAPINILLOS;135.314241571484;42.6675824645074;2.90108238123873;2.99798042566413;3.16613120530625;1.47584278390555
